Open,High,Low,Close,Volume,Number of Trades,Date,Symbol,SMA_50,SMA_200,EMA_50,EMA_200
20562.4,21071.27,19633.52,20581.14,740.705159,17650,2022-06-20,BTC,29388.7004,,29164.91554049739,36456.394149898224
20570.01,21721.44,20360.62,20718.92,545.460148,12679,2022-06-21,BTC,29032.7228,,28833.700029105337,36299.80236731217
20729.37,20893.74,19765.53,19990.66,1027.906551,25655,2022-06-22,BTC,28677.627399999998,,28486.914145611012,36137.522343756835
19985.54,21240.41,19886.1,21113.1,1154.579803,33592,2022-06-23,BTC,28306.4654,,28197.74496343019,35988.02560401796
21107.16,21554.67,20716.89,21232.7,1083.168323,32555,2022-06-24,BTC,27999.959,,27924.605945256455,35841.206443778974
21242.86,21609.07,20913.53,21492.57,473.342072,17247,2022-06-25,BTC,27709.3484,,27672.369241520908,35698.43394185083
21489.82,21882.15,20979.11,21047.27,586.391143,17433,2022-06-26,BTC,27420.709,,27412.561428127934,35552.65121606128
21035.02,21538.4,20520.44,20729.39,706.578276,21305,2022-06-27,BTC,27154.0228,,27150.476274083703,35405.15607958305
20735.95,21210.85,20197.04,20280.68,1245.63697,25714,2022-06-28,BTC,26957.445200000002,,26881.07249862944,35254.66378028372
20275.2,20439.6,19851.47,20117.99,2589.682853,47615,2022-06-29,BTC,26739.4454,,26615.85357711456,35104.05011082816
20129.62,20170.34,18634.59,19940.13,3450.195515,61746,2022-06-30,BTC,26555.9708,,26354.06049565909,34953.16533360599
19956.33,20896.68,18938.8,19272.73,4278.957469,64716,2022-07-01,BTC,26360.732399999997,,26076.361260535206,34797.1411014308
19284.64,19448.82,18985.87,19253.68,1978.595008,30002,2022-07-02,BTC,26159.519600000003,,25808.80513267108,34642.479796938955
19250.87,19638.01,18771.29,19311.49,1181.20005,22375,2022-07-03,BTC,25944.029400000003,,25554.008460801626,34489.93263478036
19318.17,20347.3,19056.52,20238.1,1863.170875,35685,2022-07-04,BTC,25721.844399999998,,25345.54146233882,34348.1233548323
20233.33,20746.4,19303.99,20185.21,2856.16758,50187,2022-07-05,BTC,25527.975,,25143.175522639256,34207.198843838945
20179.63,20665.41,19764.9,20567.15,2200.783659,46848,2022-07-06,BTC,25330.333800000004,,24963.723541359286,34071.47696479577
20569.34,21845.27,20265.0,21624.52,2048.788396,48177,2022-07-07,BTC,25189.722800000003,,24832.77438287461,33947.62664673811
21631.89,22524.95,21181.81,21601.94,3201.803268,58301,2022-07-08,BTC,25015.3408,,24706.0749953109,33824.78399353673
21602.92,21966.62,21323.57,21585.81,1495.652609,38087,2022-07-09,BTC,24862.9772,,24583.711662161455,33703.00315778015
21590.81,21601.25,20651.96,20857.32,1101.43485,25720,2022-07-10,BTC,24691.296199999997,,24437.578655802183,33575.18541491667
20865.62,20866.66,19890.27,19963.13,1352.068799,33828,2022-07-11,BTC,24484.825,,24262.110081064842,33439.742077454815
19960.72,20060.07,19247.83,19328.04,1810.723807,35370,2022-07-12,BTC,24289.5458,,24068.61713670936,33299.32713141049
19323.73,20333.81,18910.87,20237.45,3447.978008,61671,2022-07-13,BTC,24101.0182,,23918.375288210955,33169.35820472979
20241.06,20887.74,19620.83,20589.95,2992.041014,50334,2022-07-14,BTC,23922.007199999996,,23787.84880632033,33044.18996388671
20586.9,21200.0,20379.3,20832.31,1681.772136,74083,2022-07-15,BTC,23754.276,,23671.945323719534,32922.67872046495
20824.26,21573.65,20480.1,21204.34,1305.40153,25097,2022-07-16,BTC,23605.843000000004,,23575.17648749524,32806.0783351867
21193.15,21666.3,20752.48,20784.16,577.679989,14182,2022-07-17,BTC,23440.681,,23465.724860534643,32686.457257224643
20794.4,22765.2,20775.26,22430.75,2076.845181,38969,2022-07-18,BTC,23299.716,,23425.137611101913,32584.4104188443
22446.97,23793.1,21592.03,23393.18,3743.369623,61842,2022-07-19,BTC,23132.366,,23423.88437145086,32492.955389801078
23390.04,24278.63,22919.55,23221.98,5606.13532,82692,2022-07-20,BTC,22961.1004,,23415.96655296259,32400.706878459776
23216.53,23425.79,22346.27,23150.42,3376.162305,61945,2022-07-21,BTC,22827.898,,23405.55296265033,32308.664222952717
23145.95,23747.72,22506.79,22687.98,3357.28147,60566,2022-07-22,BTC,22671.981600000003,,23377.412846467963,32212.936021729307
22685.82,22999.46,21947.35,22450.41,2869.999605,122388,2022-07-23,BTC,22526.906600000002,,23341.0597936653,32115.796459324043
22450.14,23025.24,22261.75,22588.97,1619.482936,30940,2022-07-24,BTC,22381.527000000002,,23311.56607626666,32021.002166196442
22582.59,22666.41,21257.04,21307.76,2987.433268,54467,2022-07-25,BTC,22209.2024,,23232.98544582483,31914.402741657177
21305.21,21346.09,20718.0,21259.41,2532.128467,40483,2022-07-26,BTC,22006.6092,,23155.59033030229,31808.38291338198
21260.37,23098.85,21044.05,22946.39,1717.760383,32801,2022-07-27,BTC,21843.153000000002,34435.83895,23147.38639578063,31720.203879417983
22959.62,24190.66,22581.44,23843.83,1805.848049,35304,2022-07-28,BTC,21715.823200000003,34345.68535,23174.697909671588,31641.83200002079
23837.99,24435.82,23428.58,23771.51,1454.793503,31975,2022-07-29,BTC,21589.121399999996,34255.4602,23198.10230537074,31563.52033832904
23767.77,24663.55,23514.76,23640.17,903.628945,19299,2022-07-30,BTC,21480.078599999997,34159.93265,23215.438293395415,31484.681031479995
23639.65,24182.58,23230.54,23298.8,800.672856,63254,2022-07-31,BTC,21377.6298,34056.902799999996,23218.70737992893,31403.229478927955
23291.35,23497.99,22851.0,23273.67,1304.906669,29651,2022-08-01,BTC,21310.9848,33960.5516,23220.862776794464,31322.338339834143
23271.66,23448.27,22656.61,22981.68,1539.217691,30411,2022-08-02,BTC,21320.787600000003,33860.0823,23211.483060057424,31239.346714562165
22984.1,23641.97,22680.67,22820.42,1816.090399,29824,2022-08-03,BTC,21334.602400000003,33758.805049999995,23196.147253780662,31155.5762994919
22812.4,23219.5,22402.71,22609.71,2488.694177,38964,2022-08-04,BTC,21334.9048,33656.5025,23173.149714416715,31070.542803974568
22617.04,23463.62,22589.36,23318.34,1906.857334,33504,2022-08-05,BTC,21393.8254,33562.068549999996,23178.843451106255,30993.406457666366
23317.87,23349.22,22914.29,22951.63,670.121366,13873,2022-08-06,BTC,21443.661799999998,33465.0188,23169.933119690326,30913.388781470683
22954.5,23388.88,22847.27,23174.87,619.753176,16874,2022-08-07,BTC,21527.5356,33372.5906,23170.126722839726,30836.38859459038
23178.64,24245.69,23155.54,23810.28,1607.526521,25732,2022-08-08,BTC,21592.2808,33288.1891,23195.230772924442,30766.477066286
23804.79,23921.09,22868.3,23150.08,1741.707609,29955,2022-08-09,BTC,21643.6596,33221.5654,23193.460154378387,30690.692020850318
23144.72,24222.97,22655.03,23951.04,1567.681602,26860,2022-08-10,BTC,21708.301999999996,33165.959500000004,23223.169167932178,30623.630806712506
23956.24,24917.48,23851.16,23932.84,1981.491525,32662,2022-08-11,BTC,21787.1456,33104.30285,23250.99939664072,30557.055773809894
23941.94,24449.95,23586.35,24402.87,2169.536481,31413,2022-08-12,BTC,21852.940999999995,33043.12415,23296.17079285089,30495.8200944685
24400.03,24889.0,24297.29,24436.08,1509.997544,24086,2022-08-13,BTC,21917.008599999997,32980.58205,23340.87311469988,30435.52417313051
24447.26,25023.89,24147.32,24302.12,1348.468089,24999,2022-08-14,BTC,21973.1996,32918.062150000005,23378.56907098616,30374.49527588543
24304.85,25203.74,23774.26,24091.64,2619.357313,36999,2022-08-15,BTC,22034.087000000003,32852.57375,23406.53263682984,30311.979302991047
24086.4,24246.26,23668.3,23855.92,2189.526464,32012,2022-08-16,BTC,22096.617599999998,32783.1271,23424.15567067965,30247.739906941388
